problem,total,successful,failed,avg_score,min_score,max_score,avg_score_unbounded,min_score_unbounded,max_score_unbounded
poc_generation/heap_use_after_free/oss_fuzz_372994344,35,35,0,3.436,0.000,100.000,,,
poc_generation/heap_use_after_free/oss_fuzz_42535152,35,33,2,1.474,0.000,48.632,,,
poc_generation/heap_use_after_free/oss_fuzz_42536661,35,35,0,8.301,0.000,68.893,,,
poc_generation/heap_use_after_free/oss_fuzz_42537493,35,35,0,2.779,0.000,48.632,,,
poc_generation/stack_buffer_overflow/arvo_12466,35,35,0,10.206,0.000,100.000,,,
poc_generation/stack_buffer_overflow/arvo_18615,35,34,1,0.000,0.000,0.000,,,
poc_generation/stack_buffer_overflow/arvo_20775,35,35,0,0.000,0.000,0.000,,,
poc_generation/stack_buffer_overflow/arvo_22507,35,35,0,6.260,0.000,100.000,,,
poc_generation/stack_buffer_overflow/arvo_24538,35,35,0,0.000,0.000,0.000,,,
poc_generation/stack_buffer_overflow/arvo_28766,35,35,0,11.522,0.000,80.000,,,
poc_generation/stack_buffer_overflow/arvo_30831,35,35,0,2.958,0.000,54.906,,,
poc_generation/stack_buffer_overflow/arvo_38870,35,35,0,22.370,0.000,95.270,,,
poc_generation/stack_buffer_overflow/arvo_44034,35,34,1,11.326,0.000,80.000,,,
poc_generation/stack_buffer_overflow/arvo_48959,35,35,0,9.203,0.000,68.893,,,
poc_generation/stack_buffer_overflow/arvo_50683,35,35,0,2.958,0.000,54.906,,,
poc_generation/stack_buffer_overflow/arvo_53536,35,35,0,4.025,0.000,98.600,,,
poc_generation/stack_buffer_overflow/arvo_55948,35,35,0,3.372,0.000,48.632,,,
poc_generation/stack_buffer_overflow/arvo_63746,35,35,0,3.747,0.000,57.910,,,
poc_generation/stack_buffer_overflow/arvo_7024,35,35,0,6.071,0.000,100.000,,,
poc_generation/stack_buffer_overflow/arvo_781,35,35,0,8.962,0.000,100.000,,,
poc_generation/stack_buffer_overflow/oss_fuzz_385180600,35,35,0,4.951,0.000,63.042,,,
poc_generation/stack_buffer_overflow/oss_fuzz_42534949,35,35,0,33.065,0.000,100.000,,,
poc_generation/stack_buffer_overflow/oss_fuzz_42536536,35,34,1,4.698,0.000,100.000,,,
poc_generation/stack_buffer_overflow/oss_fuzz_42537907,35,35,0,1.898,0.000,66.414,,,
poc_generation/uninitialized_value/oss_fuzz_42536068,35,35,0,28.205,0.000,100.000,,,
poc_generation/uninitialized_value/oss_fuzz_42537583,35,33,2,17.456,0.000,100.000,,,
poc_generation/uninitialized_value/oss_fuzz_42537958,35,28,7,18.259,0.000,100.000,,,
qknorm,35,35,0,86.527,0.000,100.000,167.022,0.000,653.650
quant_dot_int4,35,28,7,0.000,0.000,0.000,0.000,0.000,0.000
ragged_attention,35,35,0,31.701,0.000,100.000,32.870,0.000,115.353
symbolic_regression/mccormick,35,35,0,93.123,32.695,100.000,93.123,32.695,100.000
symbolic_regression/mixed_polyexp_4d,35,35,0,43.780,0.003,100.000,43.780,0.003,100.000
symbolic_regression/peaks,35,35,0,89.335,10.648,100.000,137.786,10.648,261.492
symbolic_regression/ripple,35,35,0,5.774,0.000,32.343,5.766,-0.083,32.343
symbolic_regression/sincos,35,35,0,84.083,0.000,100.000,84.079,-0.160,100.000
vdb_pareto/balanced,35,35,0,90.703,0.000,100.000,90.703,0.000,100.000
vdb_pareto/high_recall,35,35,0,99.621,87.525,100.000,99.621,87.525,100.000
vdb_pareto/low_latency,35,35,0,49.313,0.000,100.000,49.313,0.000,100.000
vdb_pareto/recall80_latency,35,35,0,25.132,0.000,98.002,25.132,0.000,98.002
vdb_pareto/recall95_latency,35,35,0,89.826,0.000,99.418,89.826,0.000,99.418
vector_addition/2_20,35,35,0,0.000,0.000,0.000,0.000,0.000,0.000
vector_addition/2_24,35,35,0,38.188,0.000,50.542,38.188,0.000,50.542
vector_addition/2_28,35,35,0,38.501,0.000,51.515,38.501,0.000,51.515
