problem,total,successful,failed,avg_score,min_score,max_score,avg_score_unbounded,min_score_unbounded,max_score_unbounded
poc_generation/stack_buffer_overflow/arvo_53536,35,35,0,4.025,0.000,98.600,,,
poc_generation/stack_buffer_overflow/arvo_55948,35,35,0,3.372,0.000,48.632,,,
poc_generation/stack_buffer_overflow/arvo_63746,35,35,0,3.747,0.000,57.910,,,
poc_generation/stack_buffer_overflow/arvo_7024,35,35,0,6.071,0.000,100.000,,,
poc_generation/stack_buffer_overflow/arvo_781,35,35,0,8.962,0.000,100.000,,,
poc_generation/stack_buffer_overflow/oss_fuzz_385180600,35,35,0,4.951,0.000,63.042,,,
poc_generation/stack_buffer_overflow/oss_fuzz_42534949,35,35,0,33.065,0.000,100.000,,,
poc_generation/stack_buffer_overflow/oss_fuzz_42536536,35,34,1,4.698,0.000,100.000,,,
poc_generation/stack_buffer_overflow/oss_fuzz_42537907,35,35,0,1.898,0.000,66.414,,,
poc_generation/uninitialized_value/oss_fuzz_42536068,35,35,0,28.205,0.000,100.000,,,
poc_generation/uninitialized_value/oss_fuzz_42537583,35,33,2,17.456,0.000,100.000,,,
poc_generation/uninitialized_value/oss_fuzz_42537958,35,28,7,18.259,0.000,100.000,,,
qknorm,35,35,0,83.324,0.000,100.000,162.276,0.000,645.818
ragged_attention,35,35,0,40.236,0.000,100.000,42.187,0.000,115.165
symbolic_regression/mccormick,35,35,0,94.621,32.695,100.000,94.621,32.695,100.000
symbolic_regression/mixed_polyexp_4d,35,30,5,42.525,0.394,94.539,42.525,0.394,94.539
symbolic_regression/peaks,35,35,0,86.782,10.648,100.000,132.370,10.648,261.492
symbolic_regression/ripple,35,35,0,4.933,0.000,78.568,4.710,-3.847,78.568
symbolic_regression/sincos,35,35,0,83.367,0.000,100.000,83.363,-0.160,100.000
vdb_pareto/balanced,35,35,0,90.682,0.000,100.000,,,
vdb_pareto/high_recall,35,35,0,99.644,87.525,100.000,,,
vdb_pareto/low_latency,35,35,0,49.352,0.000,100.000,,,
vdb_pareto/recall80_latency,35,35,0,24.791,0.000,98.092,,,
vdb_pareto/recall95_latency,35,35,0,89.633,0.000,99.399,,,
vector_addition/2_20,35,35,0,7.589,0.000,100.000,,,
vector_addition/2_24,35,35,0,32.946,0.000,97.424,,,
vector_addition/2_28,35,35,0,39.169,0.000,100.000,,,
